timestamp_entry,timestamp_exit,direction,direction_filter,threshold,wf_window,entry_price,exit_price,exit_reason,pnl_points,pnl_pct
2020-05-29T07:15:00Z,2020-05-29T08:15:00Z,Short,dir_supertrend,0.55,1,1720.45,1716.3876,tp,3.5624,0.20706
2020-05-29T12:15:00Z,2020-05-29T14:30:00Z,Long,dir_supertrend,0.55,1,1725.93,1731.1215,tp,4.6915,0.27182
2020-03-03T13:00:00Z,2020-03-03T13:30:00Z,Long,dir_donchian,0.55,1,1603.38,1599.8608,trail,-4.0192,-0.25067
2020-03-05T08:15:00Z,2020-03-05T08:45:00Z,Long,dir_donchian,0.55,1,1640.45,1637.949,trail,-3.001,-0.18293
2020-03-05T12:45:00Z,2020-03-05T13:15:00Z,Long,dir_donchian,0.55,1,1647.86,1653.2647,tp,4.9047,0.29764
2020-03-06T00:45:00Z,2020-03-06T02:00:00Z,Long,dir_donchian,0.55,1,1674.59,1672.1956,trail,-2.8944,-0.17284
2020-03-20T11:15:00Z,2020-03-20T12:30:00Z,Long,dir_donchian,0.55,1,1506.31,1502.4113,trail,-4.3987,-0.29202
2020-03-25T17:30:00Z,2020-03-25T18:00:00Z,Long,dir_donchian,0.55,1,1627.99,1624.36,eod,-4.13,-0.25369
2020-03-26T16:00:00Z,2020-03-26T18:00:00Z,Long,dir_donchian,0.55,1,1643.16,1649.55,eod,5.89,0.35846
2020-03-31T11:15:00Z,2020-03-31T12:45:00Z,Short,dir_donchian,0.55,1,1602.86,1594.7022,tp,7.6578,0.47776
2020-04-09T06:00:00Z,2020-04-09T08:15:00Z,Long,dir_donchian,0.55,1,1647.5,1647.8044,trail,-0.1956,-0.01187
2020-04-29T06:15:00Z,2020-04-29T08:00:00Z,Long,dir_donchian,0.55,1,1708.84,1708.2561,trail,-1.0839,-0.06343
2020-04-29T12:45:00Z,2020-04-29T13:00:00Z,Short,dir_donchian,0.55,1,1701.87,1705.4532,trail,-4.0832,-0.23992
2020-04-30T14:15:00Z,2020-04-30T14:30:00Z,Short,dir_donchian,0.55,1,1710.09,1703.1172,tp,6.4728,0.37851
2020-05-04T10:45:00Z,2020-05-04T12:15:00Z,Long,dir_donchian,0.55,1,1704.02,1709.9579,tp,5.4379,0.31912
2020-05-04T12:15:00Z,2020-05-04T12:45:00Z,Long,dir_donchian,0.55,1,1706.97,1703.6907,trail,-3.7793,-0.2214
2020-05-05T06:45:00Z,2020-05-05T07:00:00Z,Short,dir_donchian,0.55,1,1697.83,1699.8823,trail,-2.5523,-0.15033
2020-05-05T09:00:00Z,2020-05-05T09:45:00Z,Short,dir_donchian,0.55,1,1693.29,1696.8008,trail,-4.0108,-0.23686
2020-05-06T06:45:00Z,2020-05-06T07:45:00Z,Short,dir_donchian,0.55,1,1702.42,1703.4658,trail,-1.5458,-0.0908
2020-05-06T13:15:00Z,2020-05-06T14:15:00Z,Short,dir_donchian,0.55,1,1699.72,1703.21,trail,-3.99,-0.23475
2020-05-07T07:45:00Z,2020-05-07T09:00:00Z,Short,dir_donchian,0.55,1,1686.97,1687.745,trail,-1.275,-0.07558
2020-05-07T13:30:00Z,2020-05-07T17:00:00Z,Long,dir_donchian,0.55,1,1694.28,1697.59,eod,2.81,0.16585
2020-05-08T12:00:00Z,2020-05-08T13:00:00Z,Long,dir_donchian,0.55,1,1721.47,1717.6376,trail,-4.3324,-0.25167
2020-05-08T13:00:00Z,2020-05-08T14:00:00Z,Short,dir_donchian,0.55,1,1718.09,1721.2517,trail,-3.6617,-0.21313
2020-05-12T06:15:00Z,2020-05-12T08:00:00Z,Long,dir_donchian,0.55,1,1698.89,1698.5628,trail,-0.8272,-0.04869
2020-05-13T06:45:00Z,2020-05-13T08:00:00Z,Short,dir_donchian,0.55,1,1702.12,1704.7069,trail,-3.0869,-0.18136
2020-05-13T08:00:00Z,2020-05-13T09:00:00Z,Long,dir_donchian,0.55,1,1703.84,1701.3746,trail,-2.9654,-0.17404
2020-05-14T06:15:00Z,2020-05-14T07:45:00Z,Short,dir_donchian,0.55,1,1710.77,1713.1541,trail,-2.8841,-0.16858
2020-05-14T12:15:00Z,2020-05-14T13:00:00Z,Long,dir_donchian,0.55,1,1716.78,1713.8887,trail,-3.3913,-0.19754
2020-05-15T06:15:00Z,2020-05-15T08:00:00Z,Long,dir_donchian,0.55,1,1731.11,1735.9038,tp,4.2938,0.24803
2020-05-18T12:00:00Z,2020-05-18T13:45:00Z,Long,dir_donchian,0.55,1,1763.45,1760.1167,trail,-3.8333,-0.21738
2020-05-18T14:00:00Z,2020-05-18T15:00:00Z,Short,dir_donchian,0.55,1,1753.93,1746.1336,tp,7.2964,0.416
2020-05-20T06:15:00Z,2020-05-20T08:30:00Z,Long,dir_donchian,0.55,1,1747.75,1745.1684,trail,-3.0816,-0.17632
2020-05-20T13:45:00Z,2020-05-20T14:30:00Z,Long,dir_donchian,0.55,1,1750.3,1746.6308,trail,-4.1692,-0.2382
2020-05-21T06:15:00Z,2020-05-21T08:00:00Z,Short,dir_donchian,0.55,1,1740.01,1735.2551,tp,4.2549,0.24454
2020-05-21T08:00:00Z,2020-05-21T10:30:00Z,Short,dir_donchian,0.55,1,1735.81,1730.5528,tp,4.7572,0.27406
2020-05-22T06:30:00Z,2020-05-22T07:15:00Z,Short,dir_donchian,0.55,1,1725.49,1727.8437,trail,-2.8537,-0.16538
2020-05-22T12:30:00Z,2020-05-22T13:45:00Z,Long,dir_donchian,0.55,1,1734.28,1731.2409,trail,-3.5391,-0.20407
2020-05-25T06:00:00Z,2020-05-25T07:45:00Z,Short,dir_donchian,0.55,1,1726.85,1723.5591,tp,2.7909,0.16162
2020-05-25T12:15:00Z,2020-05-25T13:15:00Z,Long,dir_donchian,0.55,1,1728.41,1726.5231,trail,-2.3869,-0.1381
2020-05-26T06:15:00Z,2020-05-26T07:00:00Z,Long,dir_donchian,0.55,1,1732.99,1730.2769,trail,-3.2131,-0.18541
2020-05-26T11:30:00Z,2020-05-26T12:15:00Z,Short,dir_donchian,0.55,1,1721.42,1723.7362,trail,-2.8162,-0.1636
2020-05-27T06:00:00Z,2020-05-27T07:15:00Z,Short,dir_donchian,0.55,1,1705.32,1707.8713,trail,-3.0513,-0.17893
2020-05-27T12:45:00Z,2020-05-27T13:30:00Z,Short,dir_donchian,0.55,1,1705.32,1700.0937,tp,4.7263,0.27715
2020-05-28T06:45:00Z,2020-05-28T09:00:00Z,Long,dir_donchian,0.55,1,1715.22,1719.559,tp,3.839,0.22382
2020-05-28T12:00:00Z,2020-05-28T13:45:00Z,Long,dir_donchian,0.55,1,1720.58,1719.7973,trail,-1.2827,-0.07455
2020-05-29T07:15:00Z,2020-05-29T08:00:00Z,Long,dir_donchian,0.55,1,1720.45,1718.3216,trail,-2.6284,-0.15277
2020-05-29T12:15:00Z,2020-05-29T14:30:00Z,Long,dir_donchian,0.55,1,1725.93,1731.1215,tp,4.6915,0.27182
2020-03-03T13:00:00Z,2020-03-03T13:30:00Z,Short,dir_sess_mom,0.55,1,1603.38,1605.045,trail,-2.165,-0.13503
2020-03-05T08:15:00Z,2020-03-05T08:45:00Z,Long,dir_sess_mom,0.55,1,1640.45,1637.949,trail,-3.001,-0.18293
2020-03-05T12:45:00Z,2020-03-05T13:15:00Z,Long,dir_sess_mom,0.55,1,1647.86,1653.2647,tp,4.9047,0.29764
2020-03-06T00:45:00Z,2020-03-06T02:00:00Z,Long,dir_sess_mom,0.55,1,1674.59,1672.1956,trail,-2.8944,-0.17284
2020-03-20T11:15:00Z,2020-03-20T12:30:00Z,Long,dir_sess_mom,0.55,1,1506.31,1502.4113,trail,-4.3987,-0.29202
2020-03-25T17:30:00Z,2020-03-25T18:00:00Z,Long,dir_sess_mom,0.55,1,1627.99,1624.36,eod,-4.13,-0.25369
2020-03-26T16:00:00Z,2020-03-26T18:00:00Z,Long,dir_sess_mom,0.55,1,1643.16,1649.55,eod,5.89,0.35846
2020-03-31T11:15:00Z,2020-03-31T12:45:00Z,Short,dir_sess_mom,0.55,1,1602.86,1594.7022,tp,7.6578,0.47776
2020-04-09T06:00:00Z,2020-04-09T08:00:00Z,Short,dir_sess_mom,0.55,1,1647.5,1648.6969,trail,-1.6969,-0.103
2020-04-29T06:15:00Z,2020-04-29T07:15:00Z,Short,dir_sess_mom,0.55,1,1708.84,1710.9643,trail,-2.6243,-0.15357
2020-04-29T12:45:00Z,2020-04-29T13:00:00Z,Short,dir_sess_mom,0.55,1,1701.87,1705.4532,trail,-4.0832,-0.23992
2020-04-30T14:15:00Z,2020-04-30T14:30:00Z,Short,dir_sess_mom,0.55,1,1710.09,1703.1172,tp,6.4728,0.37851
2020-05-04T10:45:00Z,2020-05-04T12:15:00Z,Long,dir_sess_mom,0.55,1,1704.02,1709.9579,tp,5.4379,0.31912
2020-05-04T12:15:00Z,2020-05-04T12:45:00Z,Long,dir_sess_mom,0.55,1,1706.97,1703.6907,trail,-3.7793,-0.2214
2020-05-05T06:45:00Z,2020-05-05T07:45:00Z,Long,dir_sess_mom,0.55,1,1697.83,1701.2505,tp,2.9205,0.17201
2020-05-05T09:00:00Z,2020-05-05T09:45:00Z,Short,dir_sess_mom,0.55,1,1693.29,1696.8008,trail,-4.0108,-0.23686
2020-05-06T06:45:00Z,2020-05-06T08:30:00Z,Long,dir_sess_mom,0.55,1,1702.42,1701.711,trail,-1.209,-0.07101
2020-05-06T13:15:00Z,2020-05-06T14:15:00Z,Short,dir_sess_mom,0.55,1,1699.72,1703.21,trail,-3.99,-0.23475
2020-05-07T07:45:00Z,2020-05-07T09:00:00Z,Short,dir_sess_mom,0.55,1,1686.97,1687.745,trail,-1.275,-0.07558
2020-05-07T13:30:00Z,2020-05-07T17:00:00Z,Long,dir_sess_mom,0.55,1,1694.28,1697.59,eod,2.81,0.16585
2020-05-08T12:00:00Z,2020-05-08T14:00:00Z,Short,dir_sess_mom,0.55,1,1721.47,1721.2517,trail,-0.2817,-0.01637
2020-05-08T14:00:00Z,2020-05-08T14:30:00Z,Short,dir_sess_mom,0.55,1,1718.72,1711.7883,tp,6.4317,0.37421
2020-05-12T06:15:00Z,2020-05-12T07:00:00Z,Short,dir_sess_mom,0.55,1,1698.89,1701.5855,trail,-3.1955,-0.18809
2020-05-12T07:30:00Z,2020-05-12T08:00:00Z,Long,dir_sess_mom,0.55,1,1701.36,1698.5628,trail,-3.2972,-0.1938
2020-05-13T06:45:00Z,2020-05-13T09:00:00Z,Long,dir_sess_mom,0.55,1,1702.12,1701.3746,trail,-1.2454,-0.07317
2020-05-13T12:30:00Z,2020-05-13T13:45:00Z,Long,dir_sess_mom,0.55,1,1702.77,1707.534,tp,4.264,0.25042
2020-05-14T06:15:00Z,2020-05-14T07:45:00Z,Short,dir_sess_mom,0.55,1,1710.77,1713.1541,trail,-2.8841,-0.16858
2020-05-14T12:15:00Z,2020-05-14T13:00:00Z,Long,dir_sess_mom,0.55,1,1716.78,1713.8887,trail,-3.3913,-0.19754
2020-05-15T06:15:00Z,2020-05-15T08:00:00Z,Long,dir_sess_mom,0.55,1,1731.11,1735.9038,tp,4.2938,0.24803
2020-05-18T12:00:00Z,2020-05-18T14:00:00Z,Short,dir_sess_mom,0.55,1,1763.45,1756.9894,tp,5.9606,0.33801
2020-05-18T14:00:00Z,2020-05-18T15:00:00Z,Short,dir_sess_mom,0.55,1,1753.93,1746.1336,tp,7.2964,0.416
2020-05-20T06:15:00Z,2020-05-20T08:30:00Z,Short,dir_sess_mom,0.55,1,1747.75,1748.0887,trail,-0.8387,-0.04799
2020-05-20T13:45:00Z,2020-05-20T14:30:00Z,Long,dir_sess_mom,0.55,1,1750.3,1746.6308,trail,-4.1692,-0.2382
2020-05-21T06:15:00Z,2020-05-21T08:00:00Z,Long,dir_sess_mom,0.55,1,1740.01,1738.2607,trail,-2.2493,-0.12927
2020-05-21T08:00:00Z,2020-05-21T10:30:00Z,Short,dir_sess_mom,0.55,1,1735.81,1730.5528,tp,4.7572,0.27406
2020-05-22T06:30:00Z,2020-05-22T08:00:00Z,Long,dir_sess_mom,0.55,1,1725.49,1730.1562,tp,4.1662,0.24145
2020-05-22T12:30:00Z,2020-05-22T13:45:00Z,Long,dir_sess_mom,0.55,1,1734.28,1731.2409,trail,-3.5391,-0.20407
2020-05-25T06:00:00Z,2020-05-25T07:45:00Z,Short,dir_sess_mom,0.55,1,1726.85,1723.5591,tp,2.7909,0.16162
2020-05-25T12:15:00Z,2020-05-25T14:00:00Z,Short,dir_sess_mom,0.55,1,1728.41,1728.6173,trail,-0.7073,-0.04092
2020-05-26T06:15:00Z,2020-05-26T07:45:00Z,Short,dir_sess_mom,0.55,1,1732.99,1733.6267,trail,-1.1367,-0.06559
2020-05-26T11:30:00Z,2020-05-26T12:15:00Z,Short,dir_sess_mom,0.55,1,1721.42,1723.7362,trail,-2.8162,-0.1636
2020-05-27T06:00:00Z,2020-05-27T07:15:00Z,Short,dir_sess_mom,0.55,1,1705.32,1707.8713,trail,-3.0513,-0.17893
2020-05-27T12:45:00Z,2020-05-27T13:30:00Z,Short,dir_sess_mom,0.55,1,1705.32,1700.0937,tp,4.7263,0.27715
2020-05-28T06:45:00Z,2020-05-28T09:00:00Z,Long,dir_sess_mom,0.55,1,1715.22,1719.559,tp,3.839,0.22382
2020-05-28T12:00:00Z,2020-05-28T13:00:00Z,Short,dir_sess_mom,0.55,1,1720.58,1723.9623,trail,-3.8823,-0.22564
2020-05-29T07:15:00Z,2020-05-29T08:00:00Z,Long,dir_sess_mom,0.55,1,1720.45,1718.3216,trail,-2.6284,-0.15277
2020-05-29T12:15:00Z,2020-05-29T14:30:00Z,Long,dir_sess_mom,0.55,1,1725.93,1731.1215,tp,4.6915,0.27182
2020-03-05T13:00:00Z,2020-03-05T13:15:00Z,Long,dir_ema,0.6,1,1647.34,1652.8407,tp,5.0007,0.30357
2020-03-20T11:15:00Z,2020-03-20T12:30:00Z,Long,dir_ema,0.6,1,1506.31,1502.4113,trail,-4.3987,-0.29202
2020-03-25T17:30:00Z,2020-03-25T18:00:00Z,Long,dir_ema,0.6,1,1627.99,1624.36,eod,-4.13,-0.25369
2020-04-29T12:45:00Z,2020-04-29T13:00:00Z,Short,dir_ema,0.6,1,1701.87,1705.4532,trail,-4.0832,-0.23992
2020-05-04T11:00:00Z,2020-05-04T12:15:00Z,Long,dir_ema,0.6,1,1705.34,1711.3644,tp,5.5244,0.32395
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_ema,0.6,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-08T14:30:00Z,2020-05-08T15:30:00Z,Short,dir_ema,0.6,1,1711.01,1714.5189,trail,-4.0089,-0.2343
2020-05-13T12:45:00Z,2020-05-13T14:15:00Z,Long,dir_ema,0.6,1,1703.91,1708.6337,tp,4.2237,0.24788
2020-05-20T06:15:00Z,2020-05-20T08:30:00Z,Long,dir_ema,0.6,1,1747.75,1745.1684,trail,-3.0816,-0.17632
2020-05-25T12:30:00Z,2020-05-25T13:15:00Z,Long,dir_ema,0.6,1,1728.87,1726.5231,trail,-2.8469,-0.16467
2020-05-26T11:30:00Z,2020-05-26T12:15:00Z,Short,dir_ema,0.6,1,1721.42,1723.7362,trail,-2.8162,-0.1636
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_ema,0.6,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T06:00:00Z,2020-05-27T07:15:00Z,Short,dir_ema,0.6,1,1705.32,1707.8713,trail,-3.0513,-0.17893
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_ema,0.6,1,1701,1695.4416,tp,5.0584,0.29738
2020-05-28T12:15:00Z,2020-05-28T13:45:00Z,Long,dir_ema,0.6,1,1721.67,1719.7973,trail,-2.3727,-0.13782
2020-05-29T13:30:00Z,2020-05-29T15:00:00Z,Long,dir_ema,0.6,1,1727.21,1726.0111,trail,-1.6989,-0.09836
2020-03-05T13:00:00Z,2020-03-05T13:15:00Z,Long,dir_supertrend,0.6,1,1647.34,1652.8407,tp,5.0007,0.30357
2020-03-20T11:15:00Z,2020-03-20T12:30:00Z,Long,dir_supertrend,0.6,1,1506.31,1502.4113,trail,-4.3987,-0.29202
2020-03-25T17:30:00Z,2020-03-25T18:00:00Z,Long,dir_supertrend,0.6,1,1627.99,1624.36,eod,-4.13,-0.25369
2020-04-29T12:45:00Z,2020-04-29T13:00:00Z,Short,dir_supertrend,0.6,1,1701.87,1705.4532,trail,-4.0832,-0.23992
2020-05-04T11:00:00Z,2020-05-04T12:15:00Z,Long,dir_supertrend,0.6,1,1705.34,1711.3644,tp,5.5244,0.32395
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_supertrend,0.6,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-08T14:30:00Z,2020-05-08T15:30:00Z,Short,dir_supertrend,0.6,1,1711.01,1714.5189,trail,-4.0089,-0.2343
2020-05-13T12:45:00Z,2020-05-13T13:30:00Z,Short,dir_supertrend,0.6,1,1703.91,1706.7442,trail,-3.3342,-0.19568
2020-05-20T06:15:00Z,2020-05-20T08:30:00Z,Long,dir_supertrend,0.6,1,1747.75,1745.1684,trail,-3.0816,-0.17632
2020-05-25T12:30:00Z,2020-05-25T13:15:00Z,Long,dir_supertrend,0.6,1,1728.87,1726.5231,trail,-2.8469,-0.16467
2020-05-26T11:30:00Z,2020-05-26T12:15:00Z,Short,dir_supertrend,0.6,1,1721.42,1723.7362,trail,-2.8162,-0.1636
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_supertrend,0.6,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T06:00:00Z,2020-05-27T07:15:00Z,Short,dir_supertrend,0.6,1,1705.32,1707.8713,trail,-3.0513,-0.17893
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_supertrend,0.6,1,1701,1695.4416,tp,5.0584,0.29738
2020-05-28T12:15:00Z,2020-05-28T13:45:00Z,Long,dir_supertrend,0.6,1,1721.67,1719.7973,trail,-2.3727,-0.13782
2020-05-29T13:30:00Z,2020-05-29T15:00:00Z,Long,dir_supertrend,0.6,1,1727.21,1726.0111,trail,-1.6989,-0.09836
2020-03-05T13:00:00Z,2020-03-05T13:15:00Z,Long,dir_donchian,0.6,1,1647.34,1652.8407,tp,5.0007,0.30357
2020-03-20T11:15:00Z,2020-03-20T12:30:00Z,Long,dir_donchian,0.6,1,1506.31,1502.4113,trail,-4.3987,-0.29202
2020-03-25T17:30:00Z,2020-03-25T18:00:00Z,Long,dir_donchian,0.6,1,1627.99,1624.36,eod,-4.13,-0.25369
2020-04-29T12:45:00Z,2020-04-29T13:00:00Z,Short,dir_donchian,0.6,1,1701.87,1705.4532,trail,-4.0832,-0.23992
2020-05-04T11:00:00Z,2020-05-04T12:15:00Z,Long,dir_donchian,0.6,1,1705.34,1711.3644,tp,5.5244,0.32395
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_donchian,0.6,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-08T14:30:00Z,2020-05-08T15:30:00Z,Short,dir_donchian,0.6,1,1711.01,1714.5189,trail,-4.0089,-0.2343
2020-05-13T12:45:00Z,2020-05-13T14:15:00Z,Long,dir_donchian,0.6,1,1703.91,1708.6337,tp,4.2237,0.24788
2020-05-20T06:15:00Z,2020-05-20T08:30:00Z,Long,dir_donchian,0.6,1,1747.75,1745.1684,trail,-3.0816,-0.17632
2020-05-25T12:30:00Z,2020-05-25T13:15:00Z,Long,dir_donchian,0.6,1,1728.87,1726.5231,trail,-2.8469,-0.16467
2020-05-26T11:30:00Z,2020-05-26T12:15:00Z,Short,dir_donchian,0.6,1,1721.42,1723.7362,trail,-2.8162,-0.1636
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_donchian,0.6,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T06:00:00Z,2020-05-27T07:15:00Z,Short,dir_donchian,0.6,1,1705.32,1707.8713,trail,-3.0513,-0.17893
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_donchian,0.6,1,1701,1695.4416,tp,5.0584,0.29738
2020-05-28T12:15:00Z,2020-05-28T13:45:00Z,Long,dir_donchian,0.6,1,1721.67,1719.7973,trail,-2.3727,-0.13782
2020-05-29T13:30:00Z,2020-05-29T15:00:00Z,Long,dir_donchian,0.6,1,1727.21,1726.0111,trail,-1.6989,-0.09836
2020-03-05T13:00:00Z,2020-03-05T13:15:00Z,Short,dir_sess_mom,0.6,1,1647.34,1650.6404,trail,-3.8004,-0.2307
2020-03-20T11:15:00Z,2020-03-20T12:30:00Z,Long,dir_sess_mom,0.6,1,1506.31,1502.4113,trail,-4.3987,-0.29202
2020-03-25T17:30:00Z,2020-03-25T18:00:00Z,Long,dir_sess_mom,0.6,1,1627.99,1624.36,eod,-4.13,-0.25369
2020-04-29T12:45:00Z,2020-04-29T13:00:00Z,Short,dir_sess_mom,0.6,1,1701.87,1705.4532,trail,-4.0832,-0.23992
2020-05-04T11:00:00Z,2020-05-04T12:15:00Z,Long,dir_sess_mom,0.6,1,1705.34,1711.3644,tp,5.5244,0.32395
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_sess_mom,0.6,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-08T14:30:00Z,2020-05-08T15:30:00Z,Short,dir_sess_mom,0.6,1,1711.01,1714.5189,trail,-4.0089,-0.2343
2020-05-13T12:45:00Z,2020-05-13T14:15:00Z,Long,dir_sess_mom,0.6,1,1703.91,1708.6337,tp,4.2237,0.24788
2020-05-20T06:15:00Z,2020-05-20T08:30:00Z,Short,dir_sess_mom,0.6,1,1747.75,1748.0887,trail,-0.8387,-0.04799
2020-05-25T12:30:00Z,2020-05-25T14:00:00Z,Short,dir_sess_mom,0.6,1,1728.87,1728.6173,trail,-0.2473,-0.01431
2020-05-26T11:30:00Z,2020-05-26T12:15:00Z,Short,dir_sess_mom,0.6,1,1721.42,1723.7362,trail,-2.8162,-0.1636
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_sess_mom,0.6,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T06:00:00Z,2020-05-27T07:15:00Z,Short,dir_sess_mom,0.6,1,1705.32,1707.8713,trail,-3.0513,-0.17893
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_sess_mom,0.6,1,1701,1695.4416,tp,5.0584,0.29738
2020-05-28T12:15:00Z,2020-05-28T13:45:00Z,Long,dir_sess_mom,0.6,1,1721.67,1719.7973,trail,-2.3727,-0.13782
2020-05-29T13:30:00Z,2020-05-29T15:00:00Z,Long,dir_sess_mom,0.6,1,1727.21,1726.0111,trail,-1.6989,-0.09836
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_ema,0.65,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_ema,0.65,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_ema,0.65,1,1701,1695.4416,tp,5.0584,0.29738
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_supertrend,0.65,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_supertrend,0.65,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_supertrend,0.65,1,1701,1695.4416,tp,5.0584,0.29738
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_donchian,0.65,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_donchian,0.65,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_donchian,0.65,1,1701,1695.4416,tp,5.0584,0.29738
2020-05-06T14:30:00Z,2020-05-06T15:00:00Z,Short,dir_sess_mom,0.65,1,1694.67,1687.2106,tp,6.9594,0.41066
2020-05-26T15:45:00Z,2020-05-26T17:00:00Z,Short,dir_sess_mom,0.65,1,1717.16,1708.9342,tp,7.7258,0.44992
2020-05-27T13:30:00Z,2020-05-27T15:00:00Z,Short,dir_sess_mom,0.65,1,1701,1695.4416,tp,5.0584,0.29738
2020-06-01T06:00:00Z,2020-06-01T09:00:00Z,Long,dir_ema,0.55,2,1740.09,1739.3816,trail,-1.2084,-0.06945
2020-06-01T13:15:00Z,2020-06-01T13:45:00Z,Short,dir_ema,0.55,2,1729.33,1732.9943,trail,-4.1643,-0.24081
2020-06-02T06:00:00Z,2020-06-02T07:30:00Z,Short,dir_ema,0.55,2,1737.07,1737.7325,trail,-1.1625,-0.06692
2020-06-02T12:45:00Z,2020-06-02T14:30:00Z,Long,dir_ema,0.55,2,1738.67,1736.5553,trail,-2.6147,-0.15039
2020-06-03T06:45:00Z,2020-06-03T08:45:00Z,Short,dir_ema,0.55,2,1725.38,1720.6038,tp,4.2762,0.24784
2020-06-03T12:00:00Z,2020-06-03T13:45:00Z,Short,dir_ema,0.55,2,1716.92,1720.5902,trail,-4.1702,-0.24289
2020-06-04T12:45:00Z,2020-06-04T13:30:00Z,Long,dir_ema,0.55,2,1711.39,1707.6397,trail,-4.2503,-0.24835
2020-06-04T13:30:00Z,2020-06-04T14:30:00Z,Long,dir_ema,0.55,2,1707.66,1714.0952,tp,5.9352,0.34756
2020-06-05T12:00:00Z,2020-06-05T12:30:00Z,Short,dir_ema,0.55,2,1702.04,1706.1866,trail,-4.6466,-0.273
2020-06-05T14:00:00Z,2020-06-05T14:30:00Z,Short,dir_ema,0.55,2,1699.74,1691.9626,tp,7.2774,0.42815
2020-06-08T12:00:00Z,2020-06-08T13:45:00Z,Long,dir_ema,0.55,2,1693.62,1690.889,trail,-3.231,-0.19077
2020-06-09T07:15:00Z,2020-06-09T07:30:00Z,Short,dir_ema,0.55,2,1694.73,1697.4594,trail,-3.2294,-0.19056
2020-06-09T13:15:00Z,2020-06-09T13:45:00Z,Long,dir_ema,0.55,2,1709.2,1705.0816,trail,-4.6184,-0.27021
2020-06-10T06:00:00Z,2020-06-10T08:30:00Z,Long,dir_ema,0.55,2,1715.04,1719.2549,tp,3.7149,0.21661
2020-06-10T12:15:00Z,2020-06-10T12:30:00Z,Long,dir_ema,0.55,2,1717.59,1714.9846,trail,-3.1054,-0.1808
2020-06-11T13:15:00Z,2020-06-11T14:30:00Z,Short,dir_ema,0.55,2,1725.49,1729.0798,trail,-4.0898,-0.23702
2020-06-12T12:00:00Z,2020-06-12T14:00:00Z,Long,dir_ema,0.55,2,1732.72,1732.744,trail,-0.476,-0.02747
2020-06-12T14:00:00Z,2020-06-12T15:30:00Z,Long,dir_ema,0.55,2,1734.6,1740.2448,tp,5.1448,0.2966
2020-06-15T12:15:00Z,2020-06-15T16:00:00Z,Short,dir_ema,0.55,2,1710.29,1708.4467,trail,1.3433,0.07854
2020-06-16T12:45:00Z,2020-06-16T13:00:00Z,Long,dir_ema,0.55,2,1729.4,1725.8902,trail,-4.0098,-0.23186
2020-06-16T13:30:00Z,2020-06-16T13:45:00Z,Long,dir_ema,0.55,2,1730.56,1726.4983,trail,-4.5617,-0.2636
2020-06-17T06:15:00Z,2020-06-17T09:00:00Z,Long,dir_ema,0.55,2,1725.43,1725.2822,trail,-0.6478,-0.03754
2020-06-18T06:00:00Z,2020-06-18T07:30:00Z,Short,dir_ema,0.55,2,1724.88,1727.4038,trail,-3.0238,-0.1753
2020-06-18T07:30:00Z,2020-06-18T08:15:00Z,Long,dir_ema,0.55,2,1726.79,1724.5852,trail,-2.7048,-0.15664
